slot_id,decision,discount_pct,reasoning,segment_notified,source,timestamp
S1002,notify_small_discount,15.0,Low historical fill rate; Good margin room,SEG_04,rule_based_fallback,2026-09-13T12:17:49.012520
S1002,notify_small_discount,15.0,Low historical fill rate (0.24); Short lead time (6h); Ample margin room (45%),SEG_04,rule_based_fallback,2026-09-13T13:00:31.625921
S1003,notify_large_discount,25.0,Test reasoning,Price Sensitive Players,turfpulse_whatsapp,2026-09-20T09:48:45.669420
S1002,notify_small_discount,15.0,Low historical fill rate (0.24); Short lead time (6h); Ample margin room (45%),SEG_04,rule_based_fallback,2026-09-20T09:49:06.412050
S1020,notify_small_discount,10.0,Manager clicked manual outreach dispatch trigger; Propensity aligned with active customer cohort,Weekend Warriors FC,turfpulse_whatsapp,2026-09-20T10:29:13.748030
S1003,notify_small_discount,15.0,Low historical fill rate (0.24); Short lead time (6h); Ample margin room (45%),SEG_04,rule_based_fallback,2026-09-20T10:30:28.642015
S1003,notify_small_discount,15.0,Slot has low fill rate; Lead time < 4 hours,Apex Midday Crew,turfpulse_whatsapp,2026-09-20T10:31:20.041925
S1020,notify_small_discount,10.0,Outreach dispatch triggered from manager UI; Targeted cohort propensity match verified,Top Propensity Lead,turfpulse_whatsapp,2026-09-20T10:37:36.986462
S1016,notify_small_discount,15.0,Outreach dispatch triggered from manager UI; Targeted cohort propensity match verified,Top Propensity Lead,turfpulse_whatsapp,2026-09-20T10:37:52.796305
